kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1525 : 1000 141200 0 0 0 63 32 0 0 
_1.ptx 1934 : 1000 7064 0 0 0 0 0 0 0 
_1.ptx 2301 : 69000 1143944 0 0 0 0 0 0 0 
_1.ptx 1478 : 1024 6144 0 0 0 0 0 0 0 
_1.ptx 1887 : 1000 9608 0 0 0 0 0 0 0 
_1.ptx 1899 : 1000 8376 0 0 0 0 0 0 0 
_1.ptx 1490 : 1024 7232 0 0 0 0 0 0 0 
_1.ptx 1485 : 1024 18560 0 0 0 0 0 0 0 
_1.ptx 2308 : 69000 581456 0 0 0 0 0 0 0 
_1.ptx 1173 : 500012 5565901 0 0 0 0 0 0 0 
_1.ptx 1996 : 1000 7384 0 0 0 0 0 0 0 
_1.ptx 1535 : 1000 7224 0 0 0 0 0 0 0 
_1.ptx 1530 : 1000 216592 4096 0 0 32 32 0 0 
_1.ptx 2353 : 1000 7576 0 0 0 0 0 0 0 
_1.ptx 1585 : 1000 7320 0 0 0 0 0 0 0 
_1.ptx 1994 : 1000 10256 0 0 0 0 0 0 0 
_1.ptx 1536 : 1000 11064 0 0 0 0 0 0 0 
_1.ptx 1945 : 1000 14000 0 0 0 0 0 0 0 
_1.ptx 1633 : 1000 3811 0 0 0 0 0 0 32 
_1.ptx 1628 : 1000 7480 0 0 0 0 0 0 0 
_1.ptx 2451 : 1000 36312 0 0 0 0 0 0 0 
_1.ptx 1688 : 1000 6768 0 0 0 0 0 0 0 
_1.ptx 1683 : 1000 7384 0 0 0 0 0 0 0 
_1.ptx 2506 : 1000 9352 0 0 0 0 0 0 0 
_1.ptx 1898 : 1000 3864 0 0 0 0 0 0 0 
_1.ptx 1484 : 1024 18560 0 0 0 0 0 0 0 
_1.ptx 2307 : 69000 550656 0 0 0 0 0 0 0 
_1.ptx 1581 : 1000 4128 4000 0 0 0 0 0 0 
_1.ptx 2404 : 69000 509216 0 0 0 0 0 0 0 
_1.ptx 2355 : 1000 7512 0 0 0 0 0 0 0 
_1.ptx 2314 : 69000 588752 0 0 0 0 0 0 0 
_1.ptx 1491 : 1024 7296 0 0 0 0 0 0 0 
_1.ptx 2320 : 69000 2187768 0 0 0 0 0 0 0 
_1.ptx 1497 : 1024 6976 0 0 0 0 0 0 0 
_1.ptx 2315 : 69000 2806776 0 0 0 0 0 0 0 
_1.ptx 2522 : 1000 6864 0 0 0 0 0 0 0 
_1.ptx 1699 : 1000 7576 0 0 0 0 0 0 0 
_1.ptx 1285 : 1 7 0 0 0 0 0 0 0 
